epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4421.4,1.27592,1.20447,1.14112,0.89945,0.89461,0.88699,0.59966,1.05727,1.00755,1.01948,0.0003764,0.0003764,0.0003764
84,4480.46,1.19992,1.1851,1.14722,0.88344,0.875,0.86533,0.57416,1.06052,1.01917,1.02133,0.0003566,0.0003566,0.0003566
85,4537.69,1.27514,1.23394,1.13308,0.89177,0.82397,0.86977,0.59981,1.0334,0.97004,1.00679,0.0003368,0.0003368,0.0003368
86,4599.97,1.18998,1.1553,1.09932,0.83509,0.825,0.89257,0.6083,1.00221,0.94306,0.96885,0.000317,0.000317,0.000317
87,4657.71,1.17596,1.12789,1.10408,0.84232,0.80133,0.89888,0.59788,1.02169,0.95557,0.96527,0.0002972,0.0002972,0.0002972
88,4723.74,1.2291,1.15084,1.10785,0.8484,0.875,0.90958,0.60132,1.01067,0.91408,0.95675,0.0002774,0.0002774,0.0002774
89,4774.68,1.21314,1.14389,1.09597,0.87516,0.9,0.91056,0.6246,0.99594,0.87213,0.94432,0.0002576,0.0002576,0.0002576
90,4827.97,1.19535,1.12567,1.11294,0.97082,0.925,0.93757,0.64604,0.95658,0.85477,0.93997,0.0002378,0.0002378,0.0002378
91,4875.8,1.11375,1.11167,1.04184,1,0.87049,0.94972,0.65604,0.93256,0.85179,0.93069,0.000218,0.000218,0.000218
92,4935.11,1.11854,0.99714,1.02919,1,0.87368,0.95247,0.66379,0.92761,0.86357,0.92606,0.0001982,0.0001982,0.0001982
93,4984.19,1.10681,1.04546,1.016,1,0.89942,0.94685,0.6633,0.93504,0.86918,0.92514,0.0001784,0.0001784,0.0001784
94,5041.02,1.07809,0.96272,1.00692,0.94635,0.88211,0.92644,0.6569,0.93047,0.87366,0.92366,0.0001586,0.0001586,0.0001586
95,5089.75,1.07372,0.97053,1.03008,0.95954,0.875,0.92229,0.65368,0.92584,0.88976,0.92409,0.0001388,0.0001388,0.0001388
96,5141.7,1.03931,0.94871,0.97978,0.95508,0.85,0.92077,0.667,0.92774,0.88029,0.92422,0.000119,0.000119,0.000119
97,5192.03,1.08873,0.96016,1.05622,0.9465,0.88467,0.93548,0.66891,0.93282,0.86897,0.92972,9.92e-05,9.92e-05,9.92e-05
98,5245.58,1.05421,0.95447,0.9923,0.97349,0.91802,0.93601,0.65785,0.93157,0.86476,0.93214,7.94e-05,7.94e-05,7.94e-05
99,5300.33,1.03732,0.98136,0.98774,0.94756,0.90362,0.93622,0.65139,0.93174,0.86575,0.92981,5.96e-05,5.96e-05,5.96e-05
100,5351.13,1.03682,0.93894,1.00121,0.94673,0.88875,0.93762,0.64912,0.93145,0.85857,0.92933,3.98e-05,3.98e-05,3.98e-05
